cat_name,desc,price
Cigarettes,CB PM  MARLBORO,23.34
Cigarettes,CB PM  MARLBORO BOX,23.34
Cigarettes,CB PM  MARLBORO 100,23.34
Cigarettes,CB PM  MARLBORO 100 BOX,23.34
Cigarettes,CB PM  MARLBORO LIGHT,23.34
Cigarettes,CB PM  MARLBORO LIGHT BOX,23.34
Cigarettes,CB PM  MARLBORO LIGHT 100,23.34
Cigarettes,CB PM  MARLBORO LIGHT 100 BOX,23.34
Cigarettes,CB PM  MARLBORO MEN,23.34
Cigarettes,CB PM  MARLBORO MEN BOX,23.34
Cigarettes,CB PM  MARLBORO MEN LT,23.34
Cigarettes,CB PM  MARLBORO MEN LT BOX,23.34
Cigarettes,CB PM  MARLBORO MEN LT 100,23.34
Cigarettes,CB PM  MARLBORO MEN LT 100 BOX,23.34
Cigarettes,CB PM  MARLBORO MEDIUM,23.34
Cigarettes,CB PM  MARLBORO MEDIUM BOX,23.34
Cigarettes,CB PM  MARLBORO MEDIUM 100,23.34
Cigarettes,CB PM  MARLBORO MEDIUM 100 BOX,23.34
Cigarettes,CB PM  MARLBORO UL KING BOX,23.34
Cigarettes,CB PM  MARLBORO UL 100 BOX,23.34
Cigarettes,CB PM  MARLBORO MEN 100 BOX,23.34
Cigarettes,CB PM  VA SLIM,23.34
Cigarettes,CB PM  VA SLIM MEN,23.34
Cigarettes,CB PM  VA SLIM LIGHT,23.34
Cigarettes,CB PM  VA SLIM MEN LT,23.34
Cigarettes,CB PM  VA SLIM UL,23.34
Cigarettes,CB PM  VA SLIM MEN UL,23.34
Cigarettes,CB PM  VA SLIM SUPER,23.34
Cigarettes,CB PM  VA SLIM SUPER MEN,23.34
Cigarettes,CB PM  VA SLIM 120 LIGHT,23.34
Cigarettes,CB PM  VA SLIM 120 MEN LT,23.34
Cigarettes,CB RJR CAMEL KING,23.34
Cigarettes,CB RJR CAMEL KING BOX,23.34
Cigarettes,CB RJR CAMEL LT KING,23.34
Cigarettes,CB RJR CAMEL LT KING BOX,23.34
Cigarettes,CB RJR CAMEL LT 100,23.34
Cigarettes,CB RJR CAMEL UL KING,23.34
Cigarettes,CB RJR CAMEL SPECIAL LT KING,23.34
Cigarettes,CB RJR CAMEL SPECIAL LT KING BOX,23.34
Cigarettes,CB RJR CAMEL SPECIAL LT 100 BOX,23.34
Cigarettes,CB RJR CAMEL MEN KING BOX,23.34
Cigarettes,CB RJR CAMEL MEN LT KING BOX,23.34
Cigarettes,CB RJR CAMEL WIDE KING BOX,23.34
Cigarettes,CB RJR CAMEL WIDE LT KING BOX,23.34
Cigarettes,CB RJR KAMEL ORIGINAL KING,23.34
Cigarettes,CB RJR KAMEL LT KING,23.34
Cigarettes,CB RJR WINSTON KING,23.34
Cigarettes,CB RJR WINSTON KING BOX,23.34
Cigarettes,CB RJR WINSTON 100,23.34
Cigarettes,CB RJR WINSTON LT KING,23.34
Cigarettes,CB RJR WINSTON LT KING BOX,23.34
Cigarettes,CB RJR WINSTON LT 100,23.34
Cigarettes,CB RJR WINSTON UL KING,23.34
Cigarettes,CB RJR WINSTON UL 100,23.34
Cigarettes,CB RJR WINSTON SELECT KING,23.34
Cigarettes,CB RJR WINSTON SELECT KING BOX,23.34
Cigarettes,CB RJR WINSTON SELECT LT KING,23.34
Cigarettes,CB RJR WINSTON SELECT LT KING BOX,23.34
Cigarettes,CB RJR WINSTON SELECT LIGHT 100,23.34
Cigarettes,CB RJR WINSTON SELECT SLIM LT 100 BOX,23.34
Cigarettes,CB RJR WINSTON UL KING BOX,23.34
Cigarettes,CB RJR WINSTON UL 100 BOX,23.34
Cigarettes,CB B&W KOOL KING,23.34
Cigarettes,CB B&W KOOL KING BOX,23.34
Cigarettes,CB B&W KOOL 100,23.34
Cigarettes,CB B&W KOOL 100 BOX,23.34
Cigarettes,CB B&W KOOL LT KING,23.34
Cigarettes,CB B&W KOOL MILD KING,23.34
Cigarettes,CB B&W KOOL MILD KING BOX,23.34
Cigarettes,CB B&W KOOL MILD 100,23.34
Cigarettes,CB B&W KOOL UL 100,23.34
Cigarettes,CB B&W KOOL MILD 100 BOX,23.34
Cigarettes,CB LOR NEWPORT KING,22.34
Cigarettes,CB LOR NEWPORT KING BOX,22.34
Cigarettes,CB LOR NEWPORT 100,22.34
Cigarettes,CB LOR NEWPORT 100 BOX,22.34
